Name,player_id,Age,Team,Season,Cluster,PA,wRC+,xwOBA,OFF,xBA,K%,BB%,P/PA,SwStr%,50th_max_velo,Brls/BBE%,HardHit%,HR/FB%,Spd,BsR,GB%,LD%,FB%,IFH%,Pull%,Oppo%,Swing%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,LA,HR,SB
Jorge Soler,624585,31,MIA,2023,9,580,126,0.374,16.2,0.262,24.3,11.4,3.99,11,103.1,15,48,21.2,1.8,-2.9,35.7,18,46.3,3.8,46.3,18.5,44.2,29.2,60.1,68.7,85.4,17.8,36,1
Javier Báez,595879,30,DET,2023,2,547,61,0.279,-23,0.234,22.9,4.4,3.6,16.7,100.2,5.1,38.8,7.3,6.5,2.3,49.9,18.1,32,7.3,40.2,23.7,54.7,46,58.2,69.3,82,9.3,9,12
Ryan McMahon,641857,28,COL,2023,7,627,88,0.335,-12.4,0.245,31.6,10.8,4.37,14.2,102,11.4,44.2,19.2,3.9,-3.1,43.3,23.2,33.5,7.7,34.7,27.8,47.2,30.1,58.7,69,76.2,9.7,23,5
Salvador Perez,521692,33,KCR,2023,4,580,86,0.325,-14.7,0.266,23.3,3.3,3.55,17,101.4,8.7,43.6,13.7,1.2,-5.2,36.3,22.9,40.9,2.7,43.6,23.1,60.1,49.5,60.2,77.5,83.9,15.6,23,0
Austin Riley,663586,26,ATL,2023,3,715,127,0.365,24.5,0.273,24.1,8.3,4,12.4,103.4,13.9,48.8,19.4,4.1,0.7,41.3,18.5,40.2,9.7,41.1,23.2,48.2,31,59.6,71.9,83.1,13.5,37,3
Willy Adames,642715,27,MIL,2023,3,638,94,0.335,-6,0.24,25.9,11.1,4.07,14.2,99.1,12.4,36.1,13.6,3.5,-1,36,19.3,44.7,4.9,46.5,17.8,49.9,35.6,56.5,73.7,83.5,18.2,24,5
Francisco Lindor,596019,29,NYM,2023,6,687,121,0.346,21.9,0.255,19.9,9.6,3.99,9.9,100.8,10.4,43.9,14.4,6.4,3.7,34.1,20.1,45.8,5,46.8,19.9,48.1,30.5,66.1,73,87.3,19.2,31,31
Joey Meneses,608841,31,WSN,2023,7,657,96,0.288,-8.8,0.247,19.8,5.8,3.87,10.2,99.9,5.4,41.7,8.6,1.6,-5.2,48.6,20.2,31.2,8.9,41.9,28.3,47.6,34.3,64.4,67.1,89.2,9.4,13,0
Adolis García,666969,30,TEX,2023,3,632,124,0.366,19.7,0.25,27.7,10.3,4.05,14.4,102.9,16.1,49.7,21.5,4.5,1.4,36.8,16.3,46.9,10.6,42.5,23.1,48.6,33,58.5,74.3,78.9,15.7,39,9
Maikel Garcia,672580,23,KCR,2023,10,515,84,0.319,-8.6,0.274,22.3,7.4,3.86,7.7,101.5,3.9,50.6,4.1,6.3,1.3,48,24.6,27.4,7,33.1,27.5,42.9,24.4,69.8,65.7,87.7,6.1,4,23
Jonathan India,663697,26,CIN,2023,1,529,99,0.339,2.3,0.252,20.6,9.8,4.17,7.8,99.7,7.7,38.4,12.2,5,2.6,38.9,21.6,39.5,8.8,42.9,26.1,38.6,22.2,62.7,59.6,87.8,15.3,17,14
Anthony Volpe,683011,22,NYY,2023,7,601,84,0.305,-7.9,0.23,27.8,8.7,3.89,12.5,99.5,9,42.7,15.2,6.2,3.4,41.1,21.8,37.1,5.9,45.6,22,47.6,32,57.7,68.5,83.9,14.2,21,24
Kyle Schwarber,656941,30,PHI,2023,8,720,119,0.364,12.7,0.22,29.9,17.5,4.26,11.2,103.4,16.4,48.5,25.5,2.2,-4.5,34.4,16.1,49.5,0.8,53.9,14.8,37.6,24.1,54.2,57.3,80.2,19,47,0
Ty France,664034,28,SEA,2023,7,665,104,0.342,-1.5,0.27,17.6,6.5,3.65,10.7,99.3,6.8,38.4,7.3,2.5,-4.3,41.8,23.4,34.8,2,42.9,20.4,53.2,37.9,63.8,74.7,91.5,13.7,12,1
Paul Goldschmidt,502671,35,STL,2023,6,687,122,0.367,19.1,0.271,23.4,12.7,4.14,10.8,102.4,11.9,50.7,15.4,3.6,0.1,41.1,21.6,37.2,7.3,33.1,31.7,43.9,29.1,68.2,63.8,79.8,12.8,25,11
Mookie Betts,605141,30,LAD,2023,1,693,167,0.407,58,0.294,15.4,13.9,3.91,5.8,100.9,12.5,48.1,16.7,4.7,0.7,27.8,23.7,48.5,6.7,46.3,18.3,38.1,20,64.3,63,93.9,20.6,39,14
Brandon Nimmo,607043,30,NYM,2023,6,682,130,0.352,22.1,0.261,21.4,10.9,4.17,8.1,101.5,9.5,47.7,13.6,4,-3.4,41,19.8,39.2,6.5,34.2,31.9,42.3,24,64.8,64.5,88.1,12.2,24,3
Tyler Stephenson,663886,26,CIN,2023,7,517,85,0.314,-12.2,0.243,26.1,9.1,3.97,10.9,100,7.6,43.2,13.7,2.7,-2.3,48.6,22.7,28.7,6.8,39.9,27.2,42.6,27.5,56.4,63.3,85,8.9,13,0
William Contreras,661388,25,MIL,2023,7,611,124,0.335,16.9,0.255,20.6,10.3,3.96,11.1,103.2,9.4,48.4,14.2,4,-1.6,55,16.1,28.8,8.7,34.3,26.6,43.2,27.9,61.9,64.1,81.6,4.7,17,6
Yandy Díaz,650490,31,TBR,2023,6,600,164,0.383,41.7,0.305,15.7,10.8,3.93,7,104.3,9.5,54,17.7,1.8,-4.4,52,19.4,28.6,8,31.4,27.5,42.6,22.8,68.1,68.5,90.1,5.7,22,0
Jurickson Profar,595777,30,- - -,2023,10,521,76,0.306,-17.8,0.247,17.3,9.6,4.04,8.5,97.2,4,31.7,6.5,2.9,-2.5,40.1,22.7,37.2,2,44.7,21.7,47.1,27.7,66.4,72.4,89.7,14.8,9,1
Ha-Seong Kim,673490,27,SDP,2023,1,626,112,0.313,13.1,0.245,19.8,12,4.36,6,96.6,4.3,26.2,10.5,5.1,4.2,40.5,20.6,38.8,10.7,45.1,20.8,38.5,23,76.3,57.2,88.2,13.6,17,38
Gunnar Henderson,683002,22,BAL,2023,7,622,123,0.346,23,0.261,25.6,9,3.87,11.4,102.7,11.4,51.7,19.3,6.9,5.8,45,19.1,35.9,4.4,39.9,25,46.8,29,62.4,69.5,82.7,11.4,28,10
Gleyber Torres,650402,26,NYY,2023,6,672,123,0.362,16.9,0.282,14.6,10,3.94,9,99.6,7.9,40.3,12.6,4.3,-1.3,39.2,21.1,39.6,6.6,36.6,25.1,46.7,29.5,68.7,71.1,87.8,15.1,25,13
Bryan De La Cruz,650559,26,MIA,2023,7,626,92,0.331,-10.2,0.273,22.7,6.4,3.94,13.4,100.3,8.8,42.4,12,2.5,-3.7,41,23.3,35.7,6.6,38.2,25.6,50,35.8,63.6,72,80.5,11.8,19,4
Spencer Steer,668715,25,CIN,2023,6,665,118,0.333,14.2,0.252,20.9,10.2,4.04,9.5,99.2,6.7,37.1,12,4.7,-0.5,37.6,19.5,43,7.1,43.6,24.2,43.8,27.7,65.9,65.1,85.3,15.3,23,15
Seiya Suzuki,673548,28,CHC,2023,6,583,126,0.357,17.1,0.283,22.3,10.1,4.19,7.9,102.2,10.5,48,14.8,4.5,-2,43.1,22.4,34.4,11.2,39.8,22.5,40.9,23.5,68.6,62.4,86.5,10.8,20,6
